"Date","Price","Open","High","Low","Vol.","Change %"
"05-08-2025","988.80","993.25","997.20","982.75","23.98M","-0.72%"
"04-08-2025","996.00","1,005.05","1,009.25","994.05","13.93M","-1.00%"
"01-08-2025","1,006.10","1,007.00","1,014.15","1,004.65","11.32M","-0.30%"
"31-07-2025","1,009.10","1,007.30","1,015.70","1,004.00","22.18M","-0.38%"
"30-07-2025","1,012.90","1,014.00","1,016.30","1,008.50","15.15M","0.21%"
"29-07-2025","1,010.80","999.95","1,013.25","998.15","19.90M","0.65%"
"28-07-2025","1,004.25","1,001.50","1,010.70","1,000.25","12.06M","0.19%"
"25-07-2025","1,002.30","1,007.50","1,007.50","999.50","9.31M","-0.23%"
"24-07-2025","1,004.60","1,016.32","1,016.32","1,001.71","19.11M","-0.50%"
"23-07-2025","1,009.64","1,003.00","1,012.38","999.01","13.63M","0.86%"
"22-07-2025","1,001.06","1,004.05","1,006.50","999.01","14.84M","0.33%"
"21-07-2025","997.77","986.65","998.52","985.80","22.31M","2.20%"
"18-07-2025","976.27","990.98","996.02","974.08","16.13M","-1.48%"
"17-07-2025","990.98","999.51","999.91","988.89","22.53M","-0.47%"
"16-07-2025","995.67","1,006.50","1,008.84","993.83","17.99M","0.04%"
"15-07-2025","995.27","984.05","999.31","984.05","14.50M","0.63%"
"14-07-2025","989.04","989.04","991.88","982.85","13.09M","-0.04%"
"11-07-2025","989.39","996.52","999.91","987.99","12.52M","-1.12%"
"10-07-2025","1,000.61","1,005.50","1,006.00","997.52","17.03M","-0.25%"
"09-07-2025","1,003.10","1,001.01","1,004.40","996.57","13.86M","0.49%"
"08-07-2025","998.22","986.05","1,000.01","986.05","15.22M","0.70%"
"07-07-2025","991.23","992.03","996.72","989.44","11.35M","-0.10%"
"04-07-2025","992.18","991.08","999.26","987.54","7.86M","0.11%"
"03-07-2025","991.08","994.97","1,001.51","989.69","16.86M","0.06%"
"02-07-2025","990.54","1,007.44","1,007.44","986.50","18.88M","-1.30%"
"01-07-2025","1,003.55","1,000.01","1,005.50","999.51","14.39M","0.53%"
"30-06-2025","998.27","1,003.25","1,004.40","995.27","13.65M","-0.67%"
"27-06-2025","1,004.95","1,004.00","1,007.39","994.23","28.21M","-0.34%"
"26-06-2025","1,008.39","988.24","1,011.03","987.54","50.08M","2.10%"
"25-06-2025","987.64","980.56","988.54","979.51","18.41M","0.98%"
"24-06-2025","978.02","980.06","987.04","975.37","22.63M","0.64%"
"23-06-2025","971.78","971.78","976.52","968.49","11.74M","-0.83%"
"20-06-2025","979.91","963.40","982.51","963.40","32.90M","1.52%"
"19-06-2025","965.25","964.55","970.98","960.41","16.88M","0.07%"
"18-06-2025","964.55","956.12","965.75","956.12","18.43M","0.22%"
"17-06-2025","962.41","966.10","968.39","957.17","16.98M","-0.30%"
"16-06-2025","965.30","959.61","967.04","957.67","16.51M","0.93%"
"13-06-2025","956.42","957.62","964.10","954.13","12.12M","-1.33%"
"12-06-2025","969.29","972.58","978.07","965.25","16.35M","-0.36%"
"11-06-2025","972.78","981.36","981.36","971.08","11.10M","-0.76%"
"10-06-2025","980.21","988.94","988.94","978.12","15.53M","-0.69%"
"09-06-2025","986.99","995.02","995.02","985.50","13.20M","0.01%"
"06-06-2025","986.89","969.59","995.67","968.94","30.13M","1.49%"
"05-06-2025","972.38","971.58","977.02","967.69","22.26M","0.43%"
"04-06-2025","968.19","958.12","969.24","958.07","12.96M","0.86%"
"03-06-2025","959.91","966.59","973.58","957.62","24.38M","-0.39%"
"02-06-2025","963.65","962.65","965.60","951.63","14.67M","-0.66%"
"30-05-2025","970.04","963.55","971.98","960.31","28.75M","0.90%"
"29-05-2025","961.36","961.61","967.99","951.28","28.92M","0.21%"
"28-05-2025","959.36","957.72","964.85","956.47","18.16M","-0.15%"
"27-05-2025","960.76","963.40","971.58","955.77","26.16M","-0.72%"
"26-05-2025","967.69","965.10","972.53","961.06","10.80M","0.34%"
"23-05-2025","964.40","957.67","966.10","954.87","9.57M","0.71%"
"22-05-2025","957.57","955.22","959.71","950.24","21.31M","-0.36%"
"21-05-2025","961.01","961.11","971.03","958.17","15.13M","0.62%"
"20-05-2025","955.07","961.66","964.90","954.13","23.88M","-1.23%"
"19-05-2025","966.94","966.10","970.09","963.10","10.20M","0.21%"
"16-05-2025","964.95","964.50","969.49","961.81","15.87M","0.05%"
"15-05-2025","964.50","954.38","969.99","946.15","32.24M","1.21%"
"14-05-2025","952.93","958.66","962.70","949.14","15.45M","-0.62%"
"13-05-2025","958.91","972.58","978.42","957.62","24.24M","-1.77%"
"12-05-2025","976.17","956.42","977.52","953.78","18.62M","3.57%"
"09-05-2025","942.50","952.68","957.12","941.06","17.19M","-2.01%"
"08-05-2025","961.86","974.97","974.97","957.17","34.80M","-0.88%"
"07-05-2025","970.39","964.60","971.93","958.81","21.42M","0.72%"
